Title,Location,Beds,Baths,Area (Marla),Price (PKR),Price Per Marla
Modern 2-Bed Apartment At Cube Apartments Bahria Enclave - Your Ultimate Haven With Luxe Amenities,"Cube Apartments, Bahria Enclave",2.0,2.0,6.9,16000000.0,2318840.579710145
Sector G 8 Marla Double Unit house for sale in Bahria enclave lslamabad,"Bahria Enclave - Sector G, Bahria Enclave",5.0,6.0,8.0,33000000.0,4125000.0
Brand New Designer House for Sale Sector C-1 5 bedroom with attach bath Extreme Top Location Bahria Enclave Islamabad,"Bahria Enclave - Sector C1, Bahria Enclave",5.0,6.0,10.0,47500000.0,4750000.0
8 Marla Double Story Service Road House For Sale,"G-15/2, G-15",4.0,5.0,8.0,37000000.0,4625000.0
2 Bedroom Apartment For Sale Zarkoon Heights Ground Floor,"Zarkon Heights, G-15",2.0,2.0,5.1,16500000.0,3235294.1176470593
1 Kanal brand New dubble story for sale G15/2 Islamabad,"G-15/2, G-15",8.0,6.0,20.0,78000000.0,3900000.0
30x60 Double Story House For Sale,"G-13 Markaz, G-13",5.0,6.0,7.0,65000000.0,9285714.285714285
30x60 House for Sale | G-11/1 Islamabad | Basement + 2 Storey,"G-11/1, G-11",4.0,4.0,8.0,68000000.0,8500000.0
Gulberg Residencia Islamabad 5m Brand New Double Unit House Available for Sale,"Gulberg Residencia - Block C, Gulberg Residencia",4.0,4.0,5.0,27500000.0,5500000.0
A+ Construction House 60 Feet Road Corner,"MPCHS - Block F, MPCHS - Multi Gardens",4.0,6.0,5.0,28000000.0,5600000.0
Kanal Brand New Luxurious House For Sale,"DHA Defence Phase 2, DHA Defence",6.0,6.0,20.0,96000000.0,4800000.0
5 Marla Corner House For Sale,"Bani Gala, Islamabad",3.0,4.0,5.0,14500000.0,2900000.0
Corner 5 Marla Single Story,"Bani Gala, Islamabad",2.0,3.0,5.0,13000000.0,2600000.0
